ID,Tipo,Propiedad,Ubicación,Contexto,Texto Español,Texto Inglés,Observaciones
form-1,input,Nombre,showroom.astro,Campo nombre formulario,placeholder: Tu nombre,placeholder: Your name,Campo obsoleto
form-2,input,Email,showroom.astro,Campo email formulario,placeholder: tu@email.com,placeholder: your@email.com,Campo obsoleto
form-3,textarea,Mensaje,showroom.astro,Campo mensaje formulario,placeholder: Tu mensaje,placeholder: Your message,Campo obsoleto
form-4,checkbox,Términos,showroom.astro,Aceptar términos,Acepto los términos,I accept the terms,Campo obsoleto
time-1,duration,Duración Min,PlaylistManager.jsx,Formato duración,X min,X min,Sin etiqueta <time>
time-2,time format,Tiempo MM:SS,Audio/Video players,Formato tiempo,MM:SS,MM:SS,Sin etiqueta <time>
iframe-1,hidden iframe,SoundCloud Widget,SoundCloudPlayer.jsx,Iframe oculto audio,aria-hidden=true,aria-hidden=true,Correctamente oculto
iframe-2,hidden iframe,YouTube Player,YouTubePlayer.jsx,Iframe oculto video,aria-hidden=true,aria-hidden=true,Correctamente oculto
missing-6,cookie banner,Aviso Cookies,No existe,Banner cookies GA4,NO IMPLEMENTADO,NOT IMPLEMENTED,Usa Google Analytics
missing-7,breadcrumbs,Migas de pan,No existe,Navegación jerárquica,NO IMPLEMENTADO,NOT IMPLEMENTED,Ayuda navegación
missing-8,skip links,Enlaces salto,Layout.astro,Saltar navegación,CSS listo pero NO USADO,CSS ready but NOT USED,Implementación pendiente
missing-9,search,Búsqueda,No existe,Función búsqueda,NO IMPLEMENTADO,NOT IMPLEMENTED,No hay búsqueda
missing-10,share,Compartir,No existe,Botones compartir,NO IMPLEMENTADO,NOT IMPLEMENTED,No hay compartir
missing-11,print,Imprimir,No existe,Estilos impresión,NO IMPLEMENTADO,NOT IMPLEMENTED,Sin CSS print
